# source: JorikJooken
# original path: jj_extract\knapsackProblemInstances-master\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0_s_300\test.in
# format: n capacity, then weight value
1000 10000000000
5000000205 5000000185
5000000265 5000000260
5000000043 5000000054
5000000257 5000000231
5000000121 5000000282
5000000092 5000000268
5000000222 5000000298
5000000165 5000000182
5000000015 5000000300
5000000066 5000000232
5000000254 5000000043
5000000046 5000000072
5000000037 5000000031
5000000182 5000000229
5000000060 5000000250
5000000292 5000000064
5000000020 5000000193
5000000269 5000000191
5000000156 5000000146
5000000210 5000000116
5000000003 5000000215
5000000037 5000000286
5000000061 5000000285
5000000230 5000000022
5000000166 5000000099
5000000200 5000000091
5000000001 5000000274
5000000286 5000000298
5000000215 5000000080
5000000019 5000000022
5000000119 5000000264
5000000111 5000000109
5000000246 5000000252
5000000174 5000000189
5000000253 5000000165
5000000283 5000000111
5000000029 5000000163
5000000073 5000000198
5000000177 5000000151
5000000273 5000000214
5000000159 5000000294
5000000281 5000000284
5000000227 5000000052
5000000181 5000000232
5000000208 5000000166
5000000160 5000000093
5000000269 5000000022
5000000254 5000000137
5000000228 5000000203
5000000179 5000000075
5000000165 5000000124
5000000259 5000000037
5000000016 5000000266
2500000154 2500000276
2500000050 2500000274
2500000075 2500000009
2500000163 2500000106
2500000131 2500000149
2500000241 2500000057
2500000041 2500000076
2500000202 2500000212
2500000034 2500000254
2500000058 2500000195
2500000102 2500000272
2500000204 2500000152
2500000265 2500000054
2500000188 2500000286
2500000166 2500000174
2500000179 2500000135
2500000277 2500000219
2500000083 2500000104
2500000172 2500000082
2500000159 2500000192
2500000194 2500000183
2500000240 2500000168
2500000023 2500000193
2500000006 2500000051
2500000130 2500000084
2500000178 2500000261
2500000232 2500000010
2500000198 2500000136
2500000062 2500000288
2500000272 2500000170
2500000099 2500000134
2500000236 2500000089
2500000236 2500000235
2500000064 2500000230
2500000206 2500000261
2500000177 2500000097
2500000247 2500000164
2500000028 2500000071
2500000093 2500000156
2500000056 2500000224
2500000094 2500000033
2500000086 2500000198
2500000227 2500000185
2500000089 2500000288
2500000023 2500000126
2500000290 2500000006
2500000210 2500000157
2500000055 2500000090
2500000091 2500000235
2500000127 2500000038
2500000241 2500000292
2500000036 2500000273
2500000006 2500000263
1250000196 1250000225
1250000108 1250000039
1250000077 1250000033
1250000204 1250000101
1250000109 1250000273
1250000009 1250000187
1250000070 1250000266
1250000253 1250000042
1250000148 1250000200
1250000066 1250000020
1250000015 1250000046
1250000093 1250000125
1250000177 1250000149
1250000276 1250000096
1250000136 1250000039
1250000049 1250000134
1250000036 1250000073
1250000273 1250000247
1250000138 1250000182
1250000269 1250000278
1250000291 1250000100
1250000029 1250000147
1250000068 1250000245
1250000110 1250000262
1250000179 1250000031
1250000219 1250000023
1250000018 1250000291
1250000047 1250000282
1250000172 1250000205
1250000091 1250000013
1250000128 1250000075
1250000031 1250000184
1250000247 1250000156
1250000190 1250000231
1250000247 1250000040
1250000207 1250000072
1250000263 1250000205
1250000061 1250000257
1250000180 1250000030
1250000087 1250000150
1250000258 1250000023
1250000128 1250000192
1250000244 1250000283
1250000130 1250000227
1250000158 1250000155
1250000034 1250000212
1250000220 1250000126
1250000045 1250000059
1250000039 1250000269
1250000273 1250000222
1250000264 1250000125
1250000095 1250000109
1250000292 1250000052
625000274 625000042
625000051 625000102
625000041 625000226
625000298 625000040
625000185 625000269
625000088 625000184
625000087 625000026
625000095 625000195
625000009 625000298
625000008 625000139
625000282 625000086
625000224 625000218
625000127 625000220
625000044 625000228
625000276 625000063
625000156 625000241
625000190 625000068
625000143 625000101
625000071 625000034
625000166 625000077
625000033 625000058
625000283 625000176
625000293 625000267
625000009 625000145
625000097 625000067
625000180 625000036
625000176 625000061
625000164 625000028
625000168 625000230
625000046 625000114
625000257 625000209
625000187 625000064
625000147 625000210
625000120 625000100
625000068 625000208
625000054 625000218
625000260 625000297
625000097 625000132
625000029 625000205
625000167 625000059
625000249 625000103
625000195 625000040
625000166 625000228
625000082 625000166
625000044 625000237
625000143 625000143
625000062 625000121
625000172 625000039
625000097 625000100
625000013 625000240
625000033 625000274
625000186 625000183
625000068 625000199
312500082 312500183
312500023 312500029
312500253 312500167
312500272 312500081
312500148 312500006
312500187 312500077
312500012 312500049
312500175 312500084
312500249 312500249
312500152 312500013
312500229 312500171
312500202 312500116
312500108 312500270
312500116 312500027
312500172 312500156
312500271 312500045
312500101 312500146
312500081 312500114
312500006 312500260
312500020 312500103
312500024 312500149
312500099 312500227
312500112 312500132
312500037 312500150
312500171 312500266
312500123 312500252
312500045 312500233
312500182 312500027
312500017 312500006
312500243 312500219
312500250 312500298
312500271 312500045
312500047 312500299
312500261 312500258
312500196 312500247
312500015 312500089
312500081 312500266
312500215 312500021
312500001 312500216
312500004 312500221
312500026 312500024
312500130 312500240
312500096 312500230
312500159 312500199
312500047 312500111
312500125 312500164
312500173 312500214
312500201 312500214
312500154 312500025
312500076 312500078
312500251 312500050
312500133 312500045
312500118 312500295
156250180 156250182
156250239 156250217
156250298 156250132
156250233 156250062
156250239 156250296
156250239 156250228
156250110 156250038
156250105 156250140
156250298 156250026
156250033 156250230
156250158 156250017
156250118 156250112
156250287 156250110
156250248 156250218
156250299 156250010
156250268 156250134
156250012 156250285
156250144 156250134
156250222 156250205
156250167 156250213
156250178 156250192
156250238 156250171
156250263 156250189
156250219 156250016
156250112 156250186
156250096 156250113
156250055 156250227
156250147 156250068
156250167 156250124
156250170 156250063
156250097 156250042
156250123 156250159
156250237 156250245
156250284 156250073
156250117 156250209
156250001 156250037
156250235 156250293
156250060 156250159
156250020 156250120
156250280 156250138
156250030 156250056
156250252 156250234
156250103 156250244
156250151 156250128
156250053 156250010
156250270 156250233
156250077 156250266
156250179 156250258
156250299 156250251
156250200 156250125
156250268 156250051
156250150 156250260
156250058 156250108
78125080 78125030
78125082 78125247
78125033 78125262
78125114 78125299
78125189 78125151
78125203 78125087
78125208 78125111
78125102 78125237
78125118 78125289
78125284 78125026
78125117 78125228
78125234 78125168
78125173 78125116
78125112 78125145
78125284 78125042
78125066 78125167
78125045 78125156
78125253 78125254
78125079 78125228
78125300 78125181
78125151 78125298
78125242 78125098
78125294 78125190
78125047 78125257
78125058 78125083
78125091 78125125
78125137 78125236
78125106 78125132
78125267 78125215
78125060 78125190
78125174 78125034
78125247 78125299
78125029 78125035
78125146 78125202
78125115 78125132
78125277 78125066
78125068 78125017
78125191 78125244
78125241 78125142
78125290 78125072
78125062 78125164
78125215 78125204
78125246 78125117
78125265 78125169
78125030 78125110
