# source: JorikJooken
# original path: jj_extract\knapsackProblemInstances-master\problemInstances\n_600_c_10000000000_g_10_f_0.3_eps_1e-05_s_100\test.in
# format: n capacity, then weight value
600 10000000000
5000100047 5000100098
5000100001 5000100051
5000100013 5000100046
5000100048 5000100034
5000100081 5000100089
5000100004 5000100024
5000100094 5000100094
5000100016 5000100033
5000100041 5000100078
5000100008 5000100097
5000100061 5000100026
5000100021 5000100082
5000100003 5000100038
5000100081 5000100036
5000100017 5000100076
5000100032 5000100005
5000100083 5000100086
5000100051 5000100041
5000100065 5000100013
5000100008 5000100025
5000100073 5000100069
5000100052 5000100082
5000100059 5000100055
5000100036 5000100039
5000100008 5000100078
5000100030 5000100029
5000100074 5000100087
5000100084 5000100007
5000100054 5000100059
5000100089 5000100027
5000100060 5000100022
5000100092 5000100045
5000100007 5000100044
5000100007 5000100059
5000100048 5000100041
5000100057 5000100060
5000100024 5000100004
5000100033 5000100073
5000100046 5000100081
5000100075 5000100063
5000100045 5000100070
5000100016 5000100015
5000100010 5000100009
5000100059 5000100018
5000100022 5000100047
5000100055 5000100063
2500100035 2500100099
2500100009 2500100093
2500100060 2500100097
2500100054 2500100025
2500100066 2500100099
2500100047 2500100069
2500100055 2500100035
2500100070 2500100040
2500100009 2500100058
2500100026 2500100018
2500100068 2500100067
2500100096 2500100042
2500100048 2500100005
2500100053 2500100084
2500100007 2500100096
2500100036 2500100091
2500100090 2500100043
2500100066 2500100015
2500100001 2500100082
2500100043 2500100098
2500100073 2500100010
2500100086 2500100026
2500100095 2500100035
2500100089 2500100100
2500100099 2500100080
2500100056 2500100066
2500100008 2500100039
2500100071 2500100010
2500100089 2500100040
2500100071 2500100087
2500100070 2500100079
2500100092 2500100035
2500100052 2500100068
2500100077 2500100005
2500100062 2500100013
2500100029 2500100082
2500100022 2500100078
2500100011 2500100075
2500100063 2500100069
2500100022 2500100099
2500100022 2500100017
2500100064 2500100006
2500100024 2500100034
2500100047 2500100037
2500100018 2500100070
2500100036 2500100090
1250100038 1250100075
1250100069 1250100054
1250100097 1250100026
1250100057 1250100038
1250100026 1250100076
1250100073 1250100055
1250100026 1250100034
1250100028 1250100048
1250100098 1250100059
1250100098 1250100080
1250100047 1250100064
1250100048 1250100064
1250100096 1250100035
1250100022 1250100054
1250100047 1250100026
1250100029 1250100067
1250100051 1250100047
1250100027 1250100021
1250100041 1250100082
1250100026 1250100093
1250100063 1250100019
1250100056 1250100017
1250100026 1250100029
1250100077 1250100050
1250100049 1250100060
1250100077 1250100038
1250100035 1250100074
1250100094 1250100094
1250100008 1250100003
1250100006 1250100040
1250100047 1250100099
1250100091 1250100072
1250100064 1250100042
1250100017 1250100043
1250100040 1250100034
1250100053 1250100039
1250100073 1250100027
1250100056 1250100085
1250100062 1250100082
1250100085 1250100015
1250100030 1250100055
1250100094 1250100053
1250100067 1250100045
1250100084 1250100095
1250100014 1250100039
1250100024 1250100017
625100063 625100043
625100075 625100065
625100080 625100015
625100077 625100031
625100084 625100076
625100099 625100084
625100042 625100078
625100084 625100071
625100048 625100079
625100036 625100096
625100026 625100004
625100048 625100080
625100036 625100091
625100068 625100083
625100056 625100010
625100083 625100047
625100054 625100028
625100006 625100091
625100075 625100084
625100001 625100078
625100090 625100056
625100089 625100066
625100099 625100091
625100021 625100007
625100082 625100037
625100100 625100093
625100084 625100009
625100055 625100015
625100081 625100019
625100069 625100091
625100062 625100075
625100031 625100031
625100008 625100040
625100025 625100020
625100049 625100019
625100041 625100064
625100029 625100052
625100050 625100081
625100040 625100015
625100046 625100061
625100059 625100014
625100030 625100069
625100034 625100037
625100094 625100056
625100097 625100072
625100080 625100005
312600030 312600021
312600005 312600015
312600097 312600031
312600052 312600089
312600088 312600031
312600090 312600010
312600038 312600051
312600013 312600028
312600003 312600078
312600038 312600060
312600047 312600093
312600044 312600053
312600042 312600010
312600040 312600078
312600084 312600018
312600003 312600071
312600068 312600056
312600043 312600030
312600064 312600029
312600088 312600070
312600047 312600091
312600036 312600040
312600068 312600087
312600093 312600085
312600028 312600057
312600001 312600042
312600084 312600095
312600065 312600098
312600070 312600084
312600011 312600039
312600100 312600010
312600076 312600016
312600052 312600061
312600065 312600051
312600059 312600097
312600080 312600092
312600044 312600011
312600009 312600029
312600028 312600100
312600022 312600065
312600036 312600052
312600055 312600063
312600035 312600026
312600025 312600094
312600042 312600081
312600045 312600100
156350082 156350036
156350028 156350099
156350093 156350038
156350088 156350017
156350004 156350032
156350028 156350055
156350087 156350092
156350013 156350019
156350068 156350091
156350089 156350023
156350025 156350091
156350092 156350099
156350022 156350029
156350064 156350062
156350089 156350046
156350016 156350020
156350018 156350046
156350053 156350093
156350083 156350068
156350051 156350096
156350010 156350040
156350056 156350072
156350027 156350059
156350022 156350035
156350027 156350075
156350008 156350024
156350081 156350041
156350048 156350069
156350041 156350006
156350052 156350040
156350096 156350024
156350075 156350020
156350031 156350019
156350044 156350038
156350099 156350051
156350019 156350042
156350026 156350092
156350087 156350055
156350051 156350100
156350042 156350081
156350083 156350015
156350031 156350079
156350073 156350053
156350081 156350029
156350003 156350074
156350012 156350008
78225075 78225049
78225039 78225025
78225084 78225049
78225042 78225005
78225021 78225077
78225005 78225074
78225034 78225069
78225099 78225037
78225026 78225073
78225023 78225020
78225031 78225008
78225050 78225018
78225091 78225044
78225068 78225038
78225079 78225068
78225077 78225003
78225010 78225002
78225013 78225090
78225051 78225067
78225039 78225100
78225039 78225042
78225059 78225005
78225079 78225067
78225086 78225097
78225031 78225008
78225064 78225020
78225054 78225011
78225048 78225067
78225095 78225055
78225021 78225077
78225005 78225075
78225030 78225077
78225047 78225008
78225034 78225016
78225032 78225035
78225014 78225073
78225053 78225063
78225079 78225061
78225091 78225074
78225088 78225095
78225059 78225039
78225046 78225074
78225033 78225040
78225089 78225060
78225047 78225086
78225008 78225018
39162578 39162593
39162546 39162522
39162556 39162592
39162518 39162520
39162566 39162573
39162552 39162581
39162581 39162501
39162584 39162583
39162552 39162573
39162567 39162518
39162596 39162596
39162543 39162560
39162582 39162564
39162514 39162511
39162504 39162561
39162536 39162540
39162505 39162599
39162534 39162541
39162566 39162573
39162598 39162542
39162539 39162599
39162515 39162545
39162564 39162537
39162595 39162517
39162536 39162541
39162584 39162553
39162591 39162516
39162567 39162512
39162524 39162530
39162541 39162516
39162559 39162574
39162513 39162543
39162560 39162570
39162592 39162568
39162565 39162596
39162547 39162562
39162553 39162585
39162569 39162563
39162547 39162591
39162572 39162575
39162569 39162573
39162500 39162573
39162553 39162581
39162594 39162553
39162568 39162562
39162537 39162576
19631329 19631347
19631345 19631308
19631338 19631311
19631314 19631263
19631274 19631348
19631278 19631308
19631267 19631251
19631273 19631316
19631322 19631348
19631257 19631275
19631335 19631255
19631319 19631325
19631279 19631313
19631336 19631332
19631291 19631342
19631274 19631328
19631284 19631277
19631318 19631310
19631330 19631272
19631322 19631335
19631287 19631296
19631309 19631285
19631315 19631276
19631261 19631269
19631315 19631348
19631333 19631312
19631320 19631291
19631291 19631263
19631321 19631251
19631344 19631295
19631278 19631278
19631316 19631333
19631349 19631321
19631263 19631327
19631302 19631282
19631262 19631314
19631260 19631272
19631297 19631331
19631329 19631317
19631251 19631345
19631265 19631288
19631329 19631317
19631313 19631306
19631320 19631265
19631331 19631325
19631281 19631316
87 60
8 4
10 19
66 52
27 65
12 38
40 64
97 56
51 46
93 40
20 75
71 41
86 54
54 72
68 50
45 94
64 63
2 86
37 78
33 42
40 43
12 29
27 65
49 15
36 61
22 31
65 99
5 27
59 49
99 16
15 14
68 40
64 74
64 75
95 25
31 48
67 78
28 32
67 53
57 69
21 33
61 41
24 90
52 57
71 6
42 14
11 17
53 64
32 17
91 57
4 3
71 69
47 50
41 99
75 8
84 70
46 74
92 43
66 1
5 7
59 27
62 94
83 11
26 49
86 5
26 87
84 34
88 1
62 60
2 1
12 68
22 7
88 75
9 42
35 13
66 24
37 49
57 72
58 74
67 37
50 67
27 18
38 39
71 97
67 72
90 47
25 72
94 24
47 13
52 82
25 87
69 83
57 81
51 90
89 10
74 97
73 12
95 32
23 82
90 72
90 58
23 15
61 7
77 53
99 15
85 81
91 79
94 44
57 37
32 56
76 3
23 67
1 20
78 25
87 39
81 85
19 75
48 90
66 81
4 92
77 65
54 50
46 7
73 33
19 70
73 67
89 8
48 45
48 12
34 37
19 72
83 55
92 63
4 92
20 66
71 92
12 90
3 17
27 19
82 35
16 20
63 60
83 9
65 95
55 67
33 22
11 62
42 100
11 13
26 86
38 21
11 22
90 69
94 24
81 58
85 54
61 20
58 11
97 47
47 64
15 49
95 18
55 11
37 87
38 98
40 7
79 72
96 100
19 25
77 4
58 12
73 67
66 97
88 36
6 3
3 81
100 33
13 41
10 55
54 76
44 91
57 5
60 93
49 58
83 53
11 58
