# source: JorikJooken
# original path: jj_extract\knapsackProblemInstances-master\problemInstances\n_600_c_10000000000_g_14_f_0.1_eps_0.001_s_200\test.in
# format: n capacity, then weight value
600 10000000000
5010000095 5010000190
5010000015 5010000062
5010000060 5010000120
5010000074 5010000182
5010000005 5010000164
5010000031 5010000167
5010000058 5010000194
5010000029 5010000184
5010000116 5010000198
5010000124 5010000107
5010000031 5010000199
5010000189 5010000117
5010000096 5010000034
5010000152 5010000094
5010000081 5010000087
5010000079 5010000001
5010000111 5010000174
5010000112 5010000134
5010000114 5010000077
5010000052 5010000044
5010000045 5010000037
5010000019 5010000103
5010000179 5010000189
5010000040 5010000140
5010000099 5010000091
5010000139 5010000080
5010000008 5010000167
5010000084 5010000190
5010000058 5010000179
5010000075 5010000047
5010000158 5010000147
5010000067 5010000020
5010000112 5010000041
5010000052 5010000119
5010000012 5010000179
5010000105 5010000105
5010000058 5010000051
5010000093 5010000124
5010000001 5010000164
5010000193 5010000086
5010000031 5010000150
2510000105 2510000065
2510000178 2510000002
2510000155 2510000159
2510000031 2510000016
2510000177 2510000054
2510000103 2510000044
2510000075 2510000068
2510000060 2510000133
2510000193 2510000130
2510000064 2510000166
2510000032 2510000160
2510000110 2510000100
2510000182 2510000166
2510000034 2510000138
2510000198 2510000190
2510000040 2510000182
2510000055 2510000193
2510000024 2510000191
2510000032 2510000160
2510000111 2510000028
2510000127 2510000082
2510000134 2510000096
2510000045 2510000078
2510000192 2510000039
2510000097 2510000002
2510000012 2510000141
2510000127 2510000043
2510000066 2510000038
2510000114 2510000020
2510000033 2510000176
2510000002 2510000162
2510000083 2510000180
2510000094 2510000116
2510000099 2510000154
2510000160 2510000095
2510000181 2510000113
2510000105 2510000011
2510000076 2510000063
2510000193 2510000024
2510000006 2510000157
2510000055 2510000136
1260000086 1260000081
1260000115 1260000049
1260000027 1260000179
1260000019 1260000040
1260000035 1260000129
1260000100 1260000009
1260000052 1260000102
1260000083 1260000040
1260000172 1260000134
1260000098 1260000112
1260000172 1260000087
1260000013 1260000109
1260000187 1260000118
1260000096 1260000071
1260000070 1260000008
1260000155 1260000130
1260000123 1260000163
1260000149 1260000094
1260000059 1260000150
1260000051 1260000112
1260000172 1260000041
1260000078 1260000105
1260000133 1260000071
1260000027 1260000084
1260000076 1260000101
1260000158 1260000123
1260000195 1260000197
1260000054 1260000094
1260000066 1260000111
1260000121 1260000086
1260000138 1260000113
1260000077 1260000039
1260000057 1260000076
1260000038 1260000138
1260000052 1260000066
1260000089 1260000176
1260000001 1260000054
1260000105 1260000130
1260000069 1260000151
1260000196 1260000050
1260000041 1260000120
635000014 635000126
635000141 635000141
635000030 635000094
635000103 635000163
635000009 635000081
635000007 635000025
635000154 635000162
635000141 635000176
635000073 635000025
635000136 635000048
635000183 635000098
635000172 635000198
635000080 635000073
635000117 635000047
635000187 635000085
635000038 635000148
635000004 635000104
635000060 635000104
635000158 635000026
635000157 635000083
635000117 635000041
635000174 635000097
635000027 635000133
635000118 635000119
635000124 635000003
635000109 635000098
635000028 635000168
635000163 635000109
635000064 635000122
635000136 635000065
635000067 635000149
635000142 635000076
635000059 635000068
635000200 635000158
635000142 635000042
635000087 635000027
635000197 635000160
635000148 635000128
635000073 635000143
635000008 635000005
635000024 635000015
322500131 322500109
322500019 322500095
322500071 322500143
322500140 322500041
322500148 322500195
322500122 322500188
322500062 322500028
322500005 322500015
322500117 322500056
322500019 322500163
322500051 322500095
322500192 322500115
322500108 322500054
322500147 322500143
322500127 322500099
322500018 322500162
322500088 322500151
322500084 322500157
322500148 322500095
322500078 322500084
322500191 322500106
322500125 322500011
322500083 322500172
322500143 322500151
322500119 322500185
322500049 322500046
322500002 322500143
322500109 322500081
322500037 322500198
322500076 322500049
322500081 322500148
322500005 322500088
322500171 322500192
322500139 322500160
322500180 322500136
322500189 322500009
322500111 322500106
322500180 322500084
322500063 322500054
322500197 322500146
322500129 322500151
166250154 166250062
166250195 166250145
166250200 166250196
166250110 166250186
166250084 166250088
166250143 166250146
166250074 166250115
166250052 166250060
166250185 166250026
166250098 166250035
166250088 166250054
166250138 166250178
166250193 166250127
166250093 166250134
166250144 166250155
166250083 166250199
166250042 166250185
166250133 166250149
166250066 166250073
166250023 166250154
166250098 166250024
166250182 166250102
166250160 166250172
166250057 166250088
166250130 166250192
166250016 166250109
166250113 166250149
166250170 166250073
166250018 166250144
166250039 166250060
166250040 166250010
166250104 166250127
166250100 166250027
166250112 166250067
166250054 166250055
166250112 166250179
166250033 166250195
166250042 166250185
166250108 166250066
166250178 166250176
166250141 166250106
88125074 88125122
88125039 88125200
88125057 88125091
88125117 88125113
88125115 88125075
88125114 88125098
88125114 88125092
88125153 88125123
88125040 88125166
88125071 88125148
88125003 88125051
88125169 88125190
88125087 88125071
88125042 88125049
88125196 88125085
88125109 88125072
88125139 88125059
88125098 88125049
88125111 88125197
88125148 88125011
88125026 88125075
88125064 88125177
88125088 88125164
88125094 88125030
88125164 88125119
88125068 88125051
88125179 88125041
88125181 88125015
88125192 88125156
88125153 88125145
88125134 88125067
88125042 88125018
88125001 88125037
88125179 88125012
88125167 88125003
88125101 88125198
88125129 88125105
88125126 88125065
88125065 88125121
88125143 88125012
88125024 88125131
49062624 49062619
49062591 49062533
49062644 49062511
49062605 49062667
49062582 49062682
49062667 49062514
49062513 49062600
49062696 49062594
49062543 49062700
49062687 49062512
49062664 49062674
49062554 49062629
49062647 49062646
49062591 49062672
49062622 49062597
49062592 49062606
49062683 49062509
49062528 49062551
49062578 49062616
49062501 49062533
49062516 49062576
49062618 49062671
49062664 49062634
49062668 49062669
49062615 49062549
49062529 49062617
49062558 49062637
49062534 49062601
49062567 49062576
49062646 49062547
49062636 49062594
49062699 49062604
49062534 49062669
49062694 49062508
49062540 49062523
49062582 49062655
49062549 49062509
49062585 49062642
49062538 49062508
49062567 49062559
49062606 49062607
29531320 29531387
29531361 29531306
29531370 29531343
29531291 29531283
29531319 29531347
29531252 29531450
29531365 29531345
29531296 29531278
29531343 29531399
29531260 29531283
29531351 29531414
29531394 29531397
29531304 29531324
29531260 29531358
29531382 29531272
29531376 29531316
29531394 29531448
29531372 29531251
29531310 29531320
29531383 29531290
29531339 29531277
29531282 29531268
29531439 29531353
29531367 29531346
29531367 29531261
29531394 29531267
29531265 29531392
29531366 29531279
29531346 29531321
29531306 29531355
29531388 29531410
29531392 29531335
29531351 29531428
29531437 29531309
29531414 29531294
29531276 29531263
29531253 29531386
29531323 29531270
29531342 29531414
29531389 29531389
29531438 29531266
19765715 19765763
19765689 19765674
19765715 19765713
19765781 19765772
19765686 19765774
19765783 19765787
19765661 19765824
19765732 19765737
19765656 19765642
19765641 19765675
19765778 19765803
19765638 19765758
19765799 19765649
19765709 19765796
19765666 19765783
19765772 19765735
19765767 19765627
19765723 19765662
19765723 19765686
19765799 19765640
19765776 19765680
19765643 19765820
19765765 19765802
19765710 19765722
19765699 19765753
19765767 19765661
19765645 19765744
19765668 19765695
19765747 19765784
19765775 19765696
19765671 19765810
19765754 19765706
19765633 19765663
19765793 19765730
19765678 19765780
19765701 19765687
19765641 19765712
19765708 19765814
19765757 19765726
19765740 19765768
19765634 19765776
14882847 14882929
14882955 14883002
14882921 14882838
14882901 14882879
14882972 14882949
14882902 14883009
14882851 14882836
14882877 14882845
14882828 14882957
14882822 14882981
14882937 14882970
14882842 14882942
14882951 14882835
14882839 14882973
14882885 14882850
14882915 14882857
14882911 14882932
14882954 14882943
14882820 14882992
14882826 14882887
14882877 14882889
14882893 14882883
14882840 14882827
14882999 14882819
14882967 14882956
14882888 14882821
14882839 14883001
14882816 14882817
14882973 14882888
14882846 14883009
14882984 14883000
14882923 14882969
14882891 14882822
14882919 14882824
14882979 14883006
14883000 14883002
14882813 14882940
14882937 14882858
14882947 14882827
14882852 14882842
14882870 14882975
12441497 12441521
12441457 12441505
12441438 12441557
12441481 12441511
12441571 12441430
12441568 12441459
12441530 12441491
12441466 12441601
12441451 12441528
12441572 12441508
12441469 12441550
12441461 12441584
12441531 12441449
12441589 12441418
12441425 12441522
12441466 12441590
12441546 12441431
12441605 12441446
12441465 12441418
12441575 12441578
12441471 12441508
12441555 12441548
12441424 12441542
12441585 12441436
12441412 12441511
12441462 12441465
12441427 12441475
12441520 12441424
12441544 12441412
12441429 12441490
12441412 12441574
12441482 12441542
12441467 12441535
12441584 12441543
12441491 12441458
12441586 12441447
12441492 12441531
12441482 12441475
12441444 12441422
12441542 12441579
12441462 12441426
11220848 11220823
11220837 11220705
11220775 11220832
11220875 11220772
11220871 11220710
11220815 11220875
11220868 11220729
11220707 11220903
11220718 11220879
11220824 11220828
11220847 11220764
11220744 11220886
11220704 11220799
11220819 11220863
11220813 11220797
11220763 11220722
11220780 11220818
11220804 11220886
11220864 11220787
11220729 11220809
11220900 11220826
11220862 11220808
11220778 11220815
11220803 11220796
11220844 11220838
11220786 11220837
11220723 11220876
11220789 11220728
11220711 11220786
11220721 11220741
11220755 11220788
11220899 11220848
11220750 11220773
11220771 11220810
11220868 11220810
11220880 11220884
11220745 11220844
11220777 11220785
11220823 11220729
11220735 11220749
11220888 11220737
128 170
139 137
193 136
171 61
155 158
31 160
25 182
9 117
122 74
63 8
162 85
11 185
187 78
6 179
113 176
106 176
174 37
116 4
111 5
172 64
88 137
117 169
79 32
20 40
123 95
102 164
18 133
187 88
5 21
100 59
15 172
34 124
5 160
164 92
75 3
99 186
193 154
135 73
146 54
78 111
7 81
88 116
112 196
162 35
92 54
89 127
96 79
128 38
103 75
163 168
188 42
14 193
97 15
26 104
70 194
62 34
82 14
85 62
4 46
152 69
99 111
78 73
84 138
140 4
78 36
102 43
9 75
